Team,1st Group,2nd Group,8th Finals,4th Finals,Semi Finals,Final,Winner,Third
qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
senegal,0.0,0.0,0.0,0.33,0.17,0.09,0.02,0.0
netherlands,0.0,0.0,0.0,0.41,0.08,0.03,0.02,0.0
england,0.0,0.0,0.0,0.67,0.26,0.18,0.1,0.0
iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
usa,0.0,0.0,0.0,0.59,0.16,0.03,0.03,0.0
wales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
argentina,0.0,0.0,0.0,0.86,0.72,0.33,0.22,0.0
saudi-arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poland,0.0,0.0,0.0,0.27,0.07,0.03,0.02,0.0
france,0.0,0.0,0.0,0.73,0.5,0.3,0.2,0.0
australia,0.0,0.0,0.0,0.14,0.04,0.01,0.01,0.0
denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spain,0.0,0.0,0.0,0.39,0.19,0.07,0.02,0.19
costa-rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
japan,0.0,0.0,0.0,0.26,0.1,0.05,0.01,0.1
morocco,0.0,0.0,0.0,0.61,0.28,0.1,0.04,0.28
croatia,0.0,0.0,0.0,0.74,0.28,0.15,0.05,0.28
belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil,0.0,0.0,0.0,0.68,0.48,0.32,0.14,0.48
serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
switzerland,0.0,0.0,0.0,0.33,0.18,0.09,0.03,0.18
cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
portugal,0.0,0.0,0.0,0.67,0.35,0.15,0.08,0.35
ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
south-korea,0.0,0.0,0.0,0.32,0.14,0.07,0.01,0.14
